ng-3-0_0_0_1_1_0,ng-3-0_0_0_1_1_0-cum,ng-3-0_0_0_1_1_0-tier,ng-3-0_0_0_0_1_0,ng-3-0_0_0_0_1_0-cum,ng-3-0_0_0_0_1_0-tier,ng-3-2_0_0_1_1_0,ng-3-2_0_0_1_1_0-cum,ng-3-2_0_0_1_1_0-tier,ng-3-2_0_0_0_1_0,ng-3-2_0_0_0_1_0-cum,ng-3-2_0_0_0_1_0-tier,ng-3-0_1_0_0_1_0,ng-3-0_1_0_0_1_0-cum,ng-3-0_1_0_0_1_0-tier,ng-3-0_1_0_1_1_0,ng-3-0_1_0_1_1_0-cum,ng-3-0_1_0_1_1_0-tier
,,,,,,,,,97.15241599673234,12.992610837438423,4,,,,,,
,,,,,,,,,97.15241599673234,13.054187192118226,4,,,,,,
,,,,,,,,,97.15241599673234,13.11576354679803,4,,,,,,
,,,,,,,,,97.15241599673234,13.177339901477833,4,,,,,,
,,,,,,,,,97.15241599673234,13.238916256157635,4,,,,,,
,,,,,,,,,97.15241599673234,13.30049261083744,4,,,,,,
,,,,,,,,,97.15241599673234,13.362068965517242,4,,,,,,
,,,,,,,,,97.15241599673234,13.423645320197044,4,,,,,,
,,,,,,,,,97.15241599673234,13.485221674876847,4,,,,,,
,,,,,,,,,97.15241599673234,13.546798029556651,4,,,,,,
,,,,,,,,,97.15241599673234,13.608374384236454,4,,,,,,
,,,,,,,,,97.15241599673234,13.669950738916256,4,,,,,,
,,,,,,,,,97.15241599673234,13.731527093596059,4,,,,,,
,,,,,,,,,97.15241599673234,13.793103448275863,4,,,,,,
,,,,,,,,,97.15241599673234,13.854679802955665,4,,,,,,
,,,,,,,,,97.15241599673234,13.916256157635468,4,,,,,,
,,,,,,,,,97.15241599673234,13.97783251231527,4,,,,,,
,,,,,,,,,97.15241599673234,14.039408866995075,4,,,,,,
,,,,,,,,,97.15241599673234,14.100985221674877,4,,,,,,
,,,,,,,,,97.15241599673234,14.16256157635468,4,,,,,,
,,,,,,,,,97.15241599673234,14.224137931034482,4,,,,,,
,,,,,,,,,97.15241599673234,14.285714285714286,4,,,,,,
,,,,,,,,,97.15241599673234,14.347290640394089,4,,,,,,
,,,,,,,,,97.15241599673234,14.408866995073891,4,,,,,,
,,,,,,,,,97.15241599673236,14.470443349753696,4,,,,,,
,,,,,,,,,97.15241599673236,14.532019704433498,4,,,,,,
,,,,,,,,,97.15241599673236,14.5935960591133,4,,,,,,
,,,,,,,,,97.15241599673236,14.655172413793103,4,,,,,,
,,,,,,,,,97.15241599673236,14.716748768472907,4,,,,,,
